######################################
#########      Families      #########
######################################
#
# Momentum cleaning
NSIG_FAM TCP3                 15.0 PRIMARY
NSIG_FAM TCSG3                18.0 SECONDARY
NSIG_FAM TCLA3                20.0 TERTIARY
# Betatron cleaning
NSIG_FAM TCP7                  5.0 PRIMARY
NSIG_FAM TCSG7                 6.5 SECONDARY
NSIG_FAM TCLA7                10.0 TERTIARY
# Injection protection
NSIG_FAM TCLI                999.0 TERTIARY
NSIG_FAM TDI                 999.0 TERTIARY
# Dump protection
NSIG_FAM TCDQ                  7.4 TERTIARY
NSIG_FAM TCSTCDQ               7.4 SECONDARY
# Physics background minimalisation
NSIG_FAM TCTh1                 8.5 TERTIARY
NSIG_FAM TCTv1                 8.5 TERTIARY
NSIG_FAM TCTh2                37.0 TERTIARY
NSIG_FAM TCTv2                37.0 TERTIARY
NSIG_FAM TCTh5                 8.5 TERTIARY
NSIG_FAM TCTv5                 8.5 TERTIARY
NSIG_FAM TCTh8                15.0 TERTIARY
NSIG_FAM TCTv8                15.0 TERTIARY
# Physics debris
NSIG_FAM TCL4                 17.0 TERTIARY
NSIG_FAM TCL5                 42.0 TERTIARY
NSIG_FAM TCL6                 20.0 TERTIARY
# Physics debris in ALICE (only for ions)
NSIG_FAM TCLD                999.0 TERTIARY
#
######################################
#########    Collimators     #########
######################################
#
# name                                                opening/fam mat.     length[m]    angle[deg]     offset[m]
tcspm.e5r7.b1                                               TCSG7 MoGR      1.000000    130.499732      0.000000
tcspm.6r7.b1                                                TCSG7 MoGR      1.000000      0.500192      0.000000
tcla.a6r7.b1                                                TCLA7 Iner      1.000000     90.000000      0.000000
tcla.b6r7.b1                                                TCLA7 Iner      1.000000      0.000000      0.000000
tcla.c6r7.b1                                                TCLA7 Iner      1.000000     90.000000      0.000000
tcla.d6r7.b1                                                TCLA7 Iner      1.000000      0.000000      0.000000
tcla.a7r7.b1                                                TCLA7 Iner      1.000000      0.000000      0.000000
tctph.4l8.b1                                                TCTh8 Iner      1.000000      0.000000      0.000000
tctpv.4l8.b1                                                TCTv8 Iner      1.000000     90.000000      0.000000
tctph.4l1.b1                                            8.5 Iner      1.000000      0.000000      0.000000
tctpv.4l1.b1                                            8.5 Iner      1.000000     90.000000      0.000000
#
# Old collimators still present in the machine but not in normal use:
tcsg.b4l7.b1                                                999.0 C         1.000000      0.000000      0.000000
tcsg.e5r7.b1                                                999.0 C         1.000000    130.499732      0.000000
tcsg.6r7.b1                                                 999.0 C         1.000000      0.500192      0.000000
#
#
#
######################################
### Additional Collimator Settings ###
######################################
SETTINGS
ONESIDED tcdqa.a4r6.b1                                    1
ONESIDED tcdqa.c4r6.b1                                    1
ONESIDED tcdqa.b4r6.b1                                    1
